Question1, choice1, choice2, choice3, choice4, answer1
Question2, choice1, choice2, choice3, choice4, answer2
Question3, choice1, choice2, choice3, choice4, answer3
Question4, choice1, choice2, choice3, choice4, answer4
Question5, choice1, choice2, choice3, choice4, answer5
"Question1", choice1, choice2, choice3, choice4," answer1"
"Question2", choice1, choice2, choice3, choice4, "answer2"
"Question3", choice1, choice2, choice3, choice4, "answer3"
"Question4", choice1, choice2, choice3, choice4, "answer4"
"Question5", choice1, choice2, choice3, choice4, "answer5"
